Id,Abstract,Task 1
D06501,"paper present creative invention benchmark (crib), 2000-problem benchmark evaluating particular facet computational creativity.$$$specifically, address combinational p-creativity, creativity play combines existing knowledge achieve solution novel individual.$$$we present generation strategies problem categories benchmark set initial baselines.",OBJECTIVES BACKGROUND METHODS
D02945,"algorithms written intent run perform useful function.$$$typically information obtained unknown algorithm run.$$$however, behavior algorithm fully described precomputing algorithm respond executed input, precomputed result provides complete specification solutions problem domain.$$$we apply idea previous anomaly detection algorithm, transform merely detects individual anomalies asked discover potentially anomalous values, algorithm capable generating complete specification values deem anomalous.$$$this specification derived examining small training data, obtained small constant time, inherently far useful results obtained repeated execution tool.$$$for example, armed specification ask close anomaly deemed normal, validate answer exhaustively testing algorithm examining specification generated correct.$$$this powerful idea applied algorithm runtime behavior recovered construction wide applicability.",BACKGROUND BACKGROUND OBJECTIVES METHODS/RESULTS RESULTS RESULTS CONCLUSIONS
D02025,"problem finding maximum number vertex-disjoint uni-color paths edge-colored graph (called maxcdp) recently introduced literature, motivated applications social network analysis.$$$in paper investigate complexity problem depends graph parameters (namely number vertices remove graph collection disjoint paths size vertex cover graph), makes sense graphs social networks random structure.$$$the problem known hard approximate polynomial time fixed-parameter tractable (fpt) natural parameter.$$$here, hard approximate, fpt-time.$$$finally, introduce new variant problem, called maxcddp, goal maximum number vertex-disjoint color-disjoint uni-color paths.$$$we extend results maxcdp new variant, prove unlike maxcdp, maxcddp hard graphs distance disjoint paths.",BACKGROUND OBJECTIVES BACKGROUND OBJECTIVES/METHODS OBJECTIVES/METHODS OBJECTIVES
D00264,"real-world machine learning applications complex test metrics, training test data follow different distributions.$$$we propose addressing issues weighted loss function standard convex loss, weights training examples learned optimize test metric validation set.$$$these metric-optimized example weights learned test metric, including black box losses customized metrics specific applications.$$$we illustrate performance proposal public benchmark datasets real-world applications domain shift custom loss functions balance multiple objectives, impose fairness policies, non-convex non-decomposable.",BACKGROUND METHODS METHODS RESULTS
D04351,"typically ontology matching technique combination different type matchers operating abstraction levels structure, semantic, syntax, instance etc.$$$an ontology matching technique employs matchers possible abstraction levels expected give, general, best results terms precision, recall f-measure improvement matching opportunities discount efficiency issues improve better computing resources parallel processing.$$$a gold standard ontology matching model derived model classification ontology matching techniques.$$$a suitable metric defined based gold standard ontology matching model.$$$a review ontology matching techniques specified recent research papers area undertaken categorize ontology matching technique newly proposed gold standard model metric value group computed.$$$the results study support proposed gold standard ontology matching model.",BACKGROUND BACKGROUND/OBJECTIVES/METHODS BACKGROUND/OBJECTIVES/METHODS/RESULTS BACKGROUND/OBJECTIVES/METHODS/RESULTS BACKGROUND/OBJECTIVES/METHODS/RESULTS BACKGROUND/OBJECTIVES/RESULTS
D03425,"paper focuses improved edge model based curvelet coefficients analysis.$$$curvelet transform powerful tool multiresolution representation object anisotropic edge.$$$curvelet coefficients contributions analyzed scale invariant feature transform (sift), commonly study local structure images.$$$the permutation curvelet coefficients original image edges image obtained gradient operator improve original edges.$$$experimental results method brings details edges decomposition scale increases.",OBJECTIVES BACKGROUND METHODS RESULTS/CONCLUSIONS RESULTS/CONCLUSIONS
D06749,"automatic parking massively developed car manufacturers providers.$$$until now, problems automatic parking.$$$first, openly-available segmentation labels parking slot panoramic surround view (psv) dataset.$$$second, detect parking slot road structure robustly.$$$therefore, paper, build public psv dataset.$$$at time, proposed highly fused convolutional network (hfcn) based segmentation method parking slot lane markings based psv dataset.$$$a surround-view image calibrated images captured fisheye cameras.$$$we collect label 4,200 surround view images task, contain illuminated scenes different types parking slots.$$$a vh-hfcn network proposed, adopts hfcn base, extra efficient vh-stage better segmenting markings.$$$the vh-stage consists independent linear convolution paths vertical horizontal convolution kernels respectively.$$$this modification enables network robustly precisely extract linear features.$$$we evaluated model psv dataset results showed outstanding performance ground markings segmentation.$$$based segmented markings, parking slots lanes acquired skeletonization, hough line transform line arrangement.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES OBJECTIVES METHODS RESULTS METHODS METHODS RESULTS RESULTS RESULTS
D06216,"understanding nonlinear dynamical systems (nldss) challenging variety engineering scientific fields.$$$dynamic mode decomposition (dmd), numerical algorithm spectral analysis koopman operators, attracting attention way obtaining global modal descriptions nldss requiring explicit prior knowledge.$$$however, existing dmd algorithms principle formulated based concatenation scalar observables, directly applicable data dependent structures observables, take, example, form sequence graphs.$$$in paper, formulate koopman spectral analysis nldss structures observables propose estimation algorithm problem.$$$this method extract visualize underlying low-dimensional global dynamics nldss structures observables data, useful understanding underlying dynamics nldss.$$$to end, formulate problem estimating spectra koopman operator defined vector-valued reproducing kernel hilbert spaces, develop estimation procedure problem reformulating tensor-based dmd.$$$as special case method, propose method named graph dmd, numerical algorithm koopman spectral analysis graph dynamical systems, sequence adjacency matrices.$$$we investigate empirical performance method synthetic real-world data.",BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS METHODS METHODS RESULTS
D06363,"body literature demonstrated users' mental health conditions, depression anxiety, predicted social media language.$$$there gap scientific understanding psychological stress expressed social media.$$$stress primary underlying causes correlates chronic physical illnesses mental health conditions.$$$in paper, explore language psychological stress dataset 601 social media users, answered perceived stress scale questionnaire consented share facebook twitter data.$$$firstly, stressed users post exhaustion, losing control, increased self-focus physical pain compared posts breakfast, family-time, travel users stressed.$$$secondly, facebook language predictive stress twitter language.$$$thirdly, demonstrate language based models developed adapted scaled measure county-level trends.$$$since county-level language easily available twitter streaming api, explore multiple domain adaptation algorithms adapt user-level facebook models twitter language.$$$we domain-adapted scaled social media-based measurements stress outperform sociodemographic variables (age, gender, race, education, income), ground-truth survey-based stress measurements, user- county-level u.s. twitter language scores higher stress predictive poorer health, access facilities lower socioeconomic status counties.$$$we conclude discussion implications social media new tool monitoring stress levels individuals counties.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES/METHODS RESULTS RESULTS RESULTS METHODS RESULTS CONCLUSIONS
D05590,"large scale deployments differential privacy collect statistical information users.$$$however, deployments periodically recollect data recompute statistics algorithms designed single use.$$$as result, systems provide meaningful privacy guarantees long time scales.$$$moreover, existing techniques mitigate effect apply ""local model"" differential privacy systems use.$$$in paper, introduce new technique local differential privacy makes possible maintain up-to-date statistics time, privacy guarantees degrade number changes underlying distribution number collection periods.$$$we use technique tracking changing statistic setting users partitioned unknown collection groups, time period user draws single bit common (but changing) group-specific distribution.$$$we provide application frequency heavy-hitter estimation.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES RESULTS RESULTS
